Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施
3(0x00000003)	梯度线圈温度过高错误，请暂停使用，检查系统设备状态并等待几分钟后再重新尝试	Gradient coil temperature too high error, check system status, wait several miniutes and try again	Error	No	Yes	梯度线圈温度过高错误	梯度线圈温度过高错误，请暂停使用，检查系统设备状态并调整扫描参数，等待几分钟后再重新尝试
4(0x00000004)	梯度线圈温度过高警告，请检查系统设备状态	Gradient coil temperature too high warrning,  check system status.	Warning	No	Yes	梯度线圈温度过高警告	梯度线圈温度过高警告，请检查系统设备状态
5(0x00000005)	梯度线圈监控通信错误，请检查系统连接状态，重启系统，若问题未能解决请联系服务工程师	Gradient coil communication error. Restart the system or contact the service engineer.	Error	No	Yes	梯度线圈温度监控通信错误	检查HUB和UFM连接状态，若未解决则联系系统服务人员
6(0x00000006)	梯度线圈温度传感器部分失效。重启系统，若问题未能解决请联系服务工程师	Partial failure of gradient coil temperature sensor. Restart the system or contact the service engineer.	Warning	No	Yes	梯度线圈温度传感器失效	梯度线圈温度传感器失效告警，请服务工程师更换对应的备用传感器
10(0x0000000A)	梯度线圈温度信息提示	Gradient coil temperature information prompt	Info	No	Yes		
102(0x00000066)	扫描间温度过低错误，请确认扫描室内空调运行情况并使用足够的患者通风量	Temperature in scanning room is too low error. Please confirm the operation of air conditioning in the scanning room and ensure sufficient ventilation for patients	Warning	No	Yes	扫描间温度过低错误	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
103(0x00000067)	扫描间温度过低警告，请确认扫描室内空调运行情况并使用足够的患者通风量	Temperature in scanning room is too low warning. Please confirm the operation of air conditioning in the scanning room and ensure sufficient ventilation for patients	Warning	No	Yes	扫描间温度过低警告	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
104(0x00000068)	扫描间温度过高警告，请确认扫描室内空调运行情况并使用足够的患者通风量	Temperature in scanning room is too high warning. Please confirm the operation of air conditioning in the scanning room and ensure sufficient ventilation for patients	Warning	No	Yes	扫描间温度过高警告	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
105(0x00000069)	扫描间温度过高错误，请确认扫描室内空调运行情况并使用足够的患者通风量	Temperature in scanning room is too high error. Please confirm the operation of air conditioning in the scanning room and ensure sufficient ventilation for patients	Warning	No	Yes	扫描间温度过高错误	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
106(0x0000006A)	扫描间温湿度监控通信错误，请检查系统连接状态，重启系统，若问题未能解决请联系服务工程师	UFM communication error. Restart the system or contact the service engineer.	Error	No	Yes	扫描间温湿度监控通信错误	检查HUB和UFM连接状态，若未解决则联系系统服务人员
107(0x0000006B)	扫描间温度信息提示	Scanning room temperature information prompt	Info	No	Yes		
108(0x0000006C)	扫描间烟雾报警，请暂停使用系统，并马上去扫描间确认情况，若问题未能解决请联系服务工程师	Smoke alarm in the scanning room. Please pause the use of the system and immediately go to the scanning room to confirm the situation. If the problem cannot be solved, please contact the service engineer	Error	No	Yes	扫描间烟雾报警	扫描间烟雾报警，请暂停使用系统，并马上去扫描间确认情况，若问题未能解决请联系服务工程师
109(0x0000006D)	扫描间烟雾报警器通信错误，请检查系统连接状态，重启系统，若问题未能解决请联系服务工程师	Smoke alarm communication error. Restart the system or contact the service engineer.	Error	No	Yes	扫描间烟雾报警器数据通信失败	扫描间烟雾报警器数据通信失败，请检查设备通信状态
110(0x0000006E)	扫描间烟雾报警器通信错误，请检查系统连接状态，重启系统，若问题未能解决请联系服务工程师	Smoke alarm communication error. Restart the system or contact the service engineer.	Error	No	Yes	扫描间烟雾报警器未连接，引发数据通信失败	扫描间烟雾报警器未连接，引发数据通信失败，请检查设备连接状态
150(0x00000096)	扫描间湿度过低错误，请确认扫描室内空调运行情况并使用足够的患者通风量	Humidity in scanning room is too low error. Please confirm the operation of air conditioning in the scanning room and ensure sufficient ventilation for patients 	Warning	No	Yes	扫描间湿度过低错误	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
151(0x00000097)	扫描间湿度过低警告，请确认扫描室内空调运行情况并使用足够的患者通风量	Humidity in scanning room is too low warning. Please confirm the operation of air conditioning in the scanning room and ensure sufficient ventilation for patients 	Warning	No	Yes	扫描间湿度过低警告	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
152(0x00000098)	扫描间湿度过高警告，请确认扫描室内空调运行情况并使用足够的患者通风量	Humidity in scanning room is too high warning. Please confirm the operation of air conditioning in the scanning room and ensure sufficient ventilation for patients	Warning	No	Yes	扫描间湿度过高警告	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
153(0x00000099)	扫描间湿度过高错误，请确认扫描室内空调运行情况并使用足够的患者通风量	Humidity in scanning room is too high error. Please confirm the operation of air conditioning in the scanning room and ensure sufficient ventilation for patients 	Warning	No	Yes	扫描间湿度过高错误	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
154(0x0000009A)	扫描间温湿度可能会引起凝露风险，请检查空调运行状态和设置是否正常	The temperature and humidity in the exam room may cause condensation risk. Please check the operation status and settings of the air conditioner. 	Warning	No	Yes	扫描间凝露告警	检查扫描间温湿度控制设备运行状态，若未解决则联系系统服务人员
155(0x0000009B)	扫描间湿度信息提示	Scanning room humidity information prompt	Info	No	Yes		
