Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施
0x50000001	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	水泵过载	"1.电网电压不稳，电压恢复后，机组下电重启；
2.水泵故障，联系供应商更换水泵；"
0x50000002	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	水箱水位低警示	LCC缺水，打开柜们，用螺丝刀松掉水箱上部盖板螺钉，取下盖板，将冷却水倒入水箱直至液位浮标高于绿色水位线
0x50000003	LCC缺水，打开柜门，用螺丝刀松掉水箱上部盖板螺钉，取下盖板，将冷却水倒入水箱直至液位浮标高于绿色水位线	LCC is short of water. Open the cabinet door, use a screwdriver to loosen the screws on the upper cover plate of the water tank, remove the cover plate, and pour cooling water into the water tank until the liquid level float is above the green line	Error	No	Yes	水箱缺水停机	LCC缺水，打开柜门，用螺丝刀松掉水箱上部盖板螺钉，取下盖板，将冷却水倒入水箱直至液位浮标高于绿色水位线
0x50000005	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	压缩机1过载	1#压缩机故障，请联系供应商维护
0x50000006	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	压缩机1高压报警	请清洗室外机，如问题不能解决联系供应商维修
0x50000007	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	压缩机1低压报警	请联系供应商,补充制冷剂
0x50000008	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	压缩机1防冻结报警	机组低温保护，请联系供应商维护
0x50000009	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	压缩机2过载	2#压缩机故障，请联系供应商维护
0x5000000A	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	压缩机2高压报警	请清洗室外机，如问题不能解决联系供应商维修
0x5000000B	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	压缩机2低压报警	请联系供应商,补充制冷剂
0x5000000C	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	压缩机2防冻结报警	机组低温保护，请联系供应商维护
0x5000000D	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA出水压力传感器错误	"1.GA供水压力传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x5000000E	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA回水压力传感器错误	不关心探点
0x5000000F	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA回水温度传感器错误	"1.GA回水温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000010	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA回水流量传感器错误	"1.GA回水流量传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000011	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC出水压力传感器错误	"1.GC供水压力传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x50000012	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水压力传感器错误	不关心探点
0x50000013	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水温度传感器错误	"1.GC回水温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
