Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施
0x00000035	ACS报警，请联系服务工程师	ACS alarm, please contact the service engineer	Warning	No	Yes	1#供风温度传感器离线	更换ACS
0x00000036	ACS报警，请联系服务工程师	ACS alarm, please contact the service engineer	Warning	No	Yes	2#供风温度传感器离线	更换ACS
0x00000037	ACS报警，请联系服务工程师	ACS alarm, please contact the service engineer	Warning	No	Yes	1#进风温度传感器离线	更换ACS
0x00000038	ACS报警，请联系服务工程师	ACS alarm, please contact the service engineer	Warning	No	Yes	2#进风温度传感器离线	更换ACS
0x0000003B	ACS报警，检查LCC操作面板查看二次水温度是否正常	ACS alarm, please check the LCC operation panel to see if the secondary water temperature is normal	Warning	No	Yes	1#供风温度高报警	"1、检查二次水温是否较高，请按照LCC二次水温高处理；
2、检查1#供风温度传感器是否故障，否则更换ACS"
0x0000003C	ACS报警，检查LCC操作面板查看二次水温度是否正常	ACS alarm, please check the LCC operation panel to see if the secondary water temperature is normal	Warning	No	Yes	2#供风温度高报警	"1、检查二次水温是否较高，请按照LCC二次水温高处理；
2、检查2#供风温度传感器是否故障，否则更换ACS"
0x0000003D	ACS报警，请检查机柜门是否关闭，若柜门处于关闭状态，请联系服务工程师	ACS alarm, please check if the cabinet door is closed. If it is, please contact the service engineer	Warning	No	Yes	1#进风温度高报警	"1、检查机柜柜门是否关闭，否则应关闭柜门；
2、检查二次水温是否较高，请按照LCC二次水温高处理；
3、检查1#供风温度传感器是否故障，否则更换ACS"
0x0000003E	ACS报警，请检查机柜门是否关闭，若柜门处于关闭状态，请联系服务工程师	ACS alarm, please check if the cabinet door is closed. If it is, please contact the service engineer	Warning	No	Yes	2#进风温度高报警	"1、检查机柜柜门是否关闭，否则应关闭柜门；
2、检查二次水温是否较高，请按照LCC二次水温高处理；
3、检查2#供风温度传感器是否故障，否则更换ACS"
0x0000003F	ACS故障，请检查机柜门是否关闭，若柜门处于关闭状态，请联系服务工程师	ACS fault, please check if the cabinet door is closed. If it is, please contact the service engineer	Error	No	Yes	1#进风温度超高报警	"1、检查机柜柜门是否关闭，否则应关闭柜门；
2、检查二次水温是否较高，请按照LCC二次水温高处理；
3、检查1#供风温度传感器是否故障，否则更换ACS"
0x00000040	ACS故障，请检查机柜门是否关闭，若柜门处于关闭状态，请联系服务工程师	ACS fault, please check if the cabinet door is closed. If it is, please contact the service engineer	Error	No	Yes	2#进风温度超高报警	"1、检查机柜柜门是否关闭，否则应关闭柜门；
2、检查二次水温是否较高，请按照LCC二次水温高处理；
3、检查2#供风温度传感器是否故障，否则更换ACS"
0x00000041	ACS通讯故障，请联系服务工程师	ACS communication fault, please contact the service engineer	Error	No	Yes	超时或者连接断开	检查ACS到LCC连接的XP15通信电缆是否故障
