Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施	报错部件
0x00000001	GA通信异常                                   1、打开系统机柜、GA机柜，检查内部GA空开状态；                                     2、重启系统，若问题未解决，联系服务工程师。	GA error                                                       1.Open System Cabinet,check the air switch of GA                                                            2.Open GA Cabinet,check the internel air switch        3.Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA通信异常	1、检查GA、谱仪子部件供电是否正常                                             2、检查GA与谱仪相连的时钟线、高速光纤线、低速光纤线是否良好装接（补充线缆标签分行描述）  时钟线10375071，高速光纤线（10363991），低速光纤线（10363991）	Hub与GA的串口线缆
0x00000002	温湿度报警                                                                                     1、检查设备间空调状态；                      2、检查系统机柜ACS是否正常运行；                                        3、重启系统，若问题未解决，联系服务工程师。	Air-condition alarm                                     1.Check Air-condition status                                 2.Check ACS status                                           3.Restart the system. If the problem is not resolved, contact the service engineer.	Warning	No	Yes	GA温湿度过高警告	1、检查设备间空调工作是否正常                                                 2、检查系统机柜ACS是否正常                                                            3、检查GA控制器右侧温湿度传感器（10434071）是否良好装接                                                                                      	空调、ACS、GA温湿度传感器
0x00000003	温湿度报错                                                                                    1、检查设备间空调状态；                      2、检查系统机柜ACS是否正常运行；                                        3、重启系统，若问题未解决，联系服务工程师。	Air-condition error                                        1.Check Air-condition status                                 2.Check ACS status                                                3.Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA温湿度过高错误	1、检查设备间空调工作是否正常                                                 2、检查系统机柜ACS是否正常                                                            4、检查GA控制器右侧温湿度传感器（10434071）是否良好装接	空调、ACS、GA温湿度传感器
0x08840001	GA报错                                                                                 1、检查设备间空调状态；                      2、检查ACS是否正常运行；                     3、重启系统，若问题未解决，联系服务工程师。	GA error                                                   1.Check Air-condition status                                 2.Check ACS status                                                3.Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA DGCU FPGA 过温	1、检查空调系统是否正常                                                       2、检查ACS是否正常                                                           3、若没有同时触发0x08850003错误，尝试重启系统不能恢复，申请更换DGCU的FRU      	空调或ACS、GA相关电路
0x08840002	GA报错，重启系统，若问题未解决，联系服务工程师。                                                        	GA error. Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA DGCU供电欠压	1、检查GA内部DGCU的供电线缆（10370641）是否良好装接                                                                    2、检查DGCU DGCCB电路板装配、紧固是否正常	GA
0x08840003	GA报错，重启系统，若问题未解决，联系服务工程师。                                                        	GA error. Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA 风扇通信异常	1、检查GA内部风扇框通信光纤两端（10375171）是否正确连接，有无插反	GA
0x08850000	GA机柜门打开                                                                                                    1、检查GA机柜门是否打开，                         2、重启系统，若问题未解决，联系服务工程师。	GA door open                                                        1.Check GA door status,                           2.Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA机柜门未关闭	1、检查GA机柜门是否处于正常关闭状态   2、检查GA机柜内部开关线缆（10375211）是否接插良好   3、检查DGCU DGEXB、DGCCB电路板装配、紧固是否正常	GA
0x08850001	水冷异常                                          1、检查LCC是否运行正常；                          2、待LCC恢复后重启系统，若问题未解决，联系服务工程师。                 	"Liquid-Cooling Error.                                             1.Check the status of LCC                      
2.Restart the system. If the problem is not resolved, contact the service engineer."	Error	No	Yes	ACDC入水口过温	"1、检查水冷系统相关的LCC等设备是否正常工作
"	LCC
0x08850002	GA供电异常，重启系统，若问题未解决，联系服务工程师。	Power Grid error.                                       1.Restart the system after Ready,or contact the service engineer.	Error	No	Yes	电网输入异常	"1、首次集成时请检查GA内部供电相序的接线是否正确， 2、检查系统配电方案是否符合装机需求（参考《场地要求》，咨询医生电网对 现场设备都有影响）                                             2、尝试重启系统，若重启不能恢复，请联系研发工程师
"	system
0x08850003	风冷异常                                    1、检查设备间空调系统是否正常工作；          2、检查系统机柜ACS是否正常运行；                    3、重启系统，若问题未解决，联系服务工程师。	Air-condition error.                                            1.Check Air-condition status                                2.Check ACS status                                                 3.Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA机柜温度异常	1、检查空调系统是否正常                                                       2、检查ACS是否正常	空调或ACS
0x08850004	GA报错，重启系统，若问题未解决，联系服务工程师。                                                        	GA error. Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA时钟丢失	1、检查谱仪是否正常工作，检查ROUTER错误灯是否亮起                                                                                                   2、检查GA输入时钟线缆（10375071）是否正常连接    3、申请更换FRU                                                                                  	时钟输入
0x08850005	GA报错，重启系统，若问题未解决，联系服务工程师。                                                        	GA error. Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA变压器错误	1、首次集成时，请检查报错详情，并检查变压器接线是否正确                                    2、尝试重启系统	GA-变压器
0x08850006	GA报错，请联系服务工程师。  	GA error. Please contact the service engineer.	Error	No	Yes	GA多功能盒错误	1、尝试重启系统；	GA-多功能盒
0x08850007	GA报错，请联系服务工程师。  	GA error. Please contact the service engineer.	Error	No	Yes	GA ACDC错误	1、尝试重启系统；	GA-ACDC
0x08850008	GA报错，重启系统，若问题未解决，联系服务工程师。                                                        	GA error. Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA 风扇错误	1、尝试重启系统；申请更换FRU	GA-FAN
0x08850009	GA报错，请联系服务工程师。  	GA error. Please contact the service engineer.	Error	No	Yes	GA DCAC X轴异常	2、尝试重启系统；	GA-DCAC-X
0x0885000A	GA报错，请联系服务工程师。  	GA error. Please contact the service engineer.	Error	No	Yes	GA DCAC Y轴异常	3、尝试重启系统；	GA-DCAC-Y
0x0885000B	GA报错，请联系服务工程师。  	GA error. Please contact the service engineer.	Error	No	Yes	GA DCAC Z轴异常	4、尝试重启系统；	GA-DCAC-Z
0x0885000C	GA报错，重启系统，若问题未解决，联系服务工程师。                                                        	GA error. Restart the system. If the problem is not resolved, contact the service engineer.	Error	No	Yes	GA DGCU 控制器错误	5、尝试重启系统；	GA-DGCU
0x0885000F	GA停止运行，请根据“设备状态”指导进行处理	GA stopped running. Please Solve according to the device details.	Error	No	Yes	GA停止运行	请检查GA及其相关工作条件是否满足要求	GA
