Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施	报错子部件	服务提示解决措施--改进	Unnamed: 10
0x000001F4	固件更新错误，请重试，若问题未能解决请联系服务工程师	Firmware update error，Retry or contact the service engineer	Error	Yes	Yes	SCU PCIE_END报错, 固件更新错误	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	SCU PCIE_END	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	
0x000001F5	固件更新错误，请重试，若问题未能解决请联系服务工程师	Firmware update error，Retry or contact the service engineer	Error	Yes	Yes	SCU PCIE_END报错, 固件更新缓存错误	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	SCU PCIE_END	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	
0x000001F6	固件更新错误，请重试，若问题未能解决请联系服务工程师	Firmware update error，Retry or contact the service engineer	Error	Yes	Yes	SCU PCIE_END报错, 固件更新校验错误	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	SCU PCIE_END	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	
0x000001F7	固件更新错误，请重试，若问题未能解决请联系服务工程师	Firmware update error，Retry or contact the service engineer	Error	Yes	Yes	SCU PCIE_END报错, 固件更新超时错误	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	SCU PCIE_END	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	
0x000001F8	固件更新错误，请重试，若问题未能解决请联系服务工程师	Firmware update error，Retry or contact the service engineer	Error	Yes	Yes	SCU PCIE_END报错, 固件更新编程错误	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	SCU PCIE_END	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	
0x000001F9	固件更新错误，请重试，若问题未能解决请联系服务工程师	Firmware update error，Retry or contact the service engineer	Error	Yes	Yes	SCU PCIE_END报错, 固件更新擦除错误	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	SCU PCIE_END	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	
0x000001FA	固件更新错误，请重试，若问题未能解决请联系服务工程师	Firmware update error，Retry or contact the service engineer	Error	Yes	Yes	SCU PCIE_END报错, 固件更新ID错误	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	SCU PCIE_END	1. 重启系统 2. 更新Neubin软件版本至最新版本，再次尝试固件更新  3. 如以上措施无效，更换SCU PCIE_END板卡	
0x000003E8	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 光纤发送错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003E9	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 光纤接收错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
0x000003EA	谱仪错误，重启系统，若问题未能解决请联系服务工程师	Spectromter error. Restart the system or contact the service engineer	Error	No	Yes	SCU PCIE_END报错, 光纤发送错误	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	SCU PCIE_END	1.重启系统  2.请检查SCU PCIE_END光纤是否插紧  3.请检查SCU PCIE_END X1光模块是否插紧 4. 检查SCU PCIE_END固件是否最新 5.如以上措施无效，更换PCIE_END板卡	
