Code	HOS通道5欠压，重启HOS，若问题未能解决请联系服务工程师	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施
0x10000001	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道1固件状态报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000002	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道2固件状态报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000003	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道3固件状态报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000004	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道4固件状态报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000005	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道5固件状态报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000006	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道1传感器报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000007	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道2传感器报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000008	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道3传感器报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000009	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道4传感器报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x1000000A	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道5传感器报错	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x1000000B	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道1过流	检查电流设定值是否满足阈值要求，重启系统，若未解决则联系系统服务人员
0x1000000C	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道2过流	检查电流设定值是否满足阈值要求，重启系统，若未解决则联系系统服务人员
0x1000000D	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道3过流	检查电流设定值是否满足阈值要求，重启系统，若未解决则联系系统服务人员
0x1000000E	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道4过流	检查电流设定值是否满足阈值要求，重启系统，若未解决则联系系统服务人员
0x1000000F	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道5过流	检查电流设定值是否满足阈值要求，重启系统，若未解决则联系系统服务人员
0x10000010	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道1过压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000011	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道2过压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000012	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道3过压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000013	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道4过压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000014	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道5过压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000015	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道1欠压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000016	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道2欠压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000017	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道3欠压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
0x10000018	HOS报错，重启系统，若问题未能解决请联系服务工程师	HOS error. Restart the HOS. If the problem persists, please contact the service engineer	Error	No	Yes	HOS通道4欠压	检查HOS状态灯状态，重启系统，若未解决则联系系统服务人员
