序号	修改时间	修改内容描述	责任人	是否验证
1	2021-01-20 13:23:00	增加SCU启动错误码	孙瑀	否
2	2020-01-20 17:00:00	增加应用程序Crash错误码	朱诗永	否
3	2021-01-29 13:30:00	新增SCU DSAM Warning：debug state	孙瑀	否
4	2021-01-29 17:00:00	新增DSExe错误代码	吴勇	否
5	2021-03-17 10:38:00	新增两个GA错误码：0x1F04BC9， 0x1F04BCA	孙瑀	否
6	2021-03-29 00:00:00	"1. 删除Tang Couch Error Code：1008 和 1009
2. 删除RF15自研 Error Code：0002"	朱诗永	否
7	2021-03-31 14:28:00	增加软件SCU错误码401-416	孙瑀	否
8	2021-04-07 00:00:00	更新房伟老师提供的 LCC 和 ACS 列表	朱诗永	否
9	2021-04-16 11:03:00	修改SCU GA错误码位数	孙瑀	否
10	2021-04-20 16:17:00	修改、新增DSAM TCU错误码	孙瑀	否
11	2021-04-23 00:00:00	更新SCU 错误码	朱诗永	否
12	2021-04-27 00:00:00	CouchHan(0-1000)增加100	谢玉武	否
13	2021-05-26 10:22:00	更新201-208，401-416错误描述	孙瑀	否
14	2021-07-16 09:00:00	"CouchHan(0-1000),CouchTang 增加:3000;
Gradient Amplifier_2000,Gradient Amplifier_1000 增加1;
LCC增加500;
MMU增加19
RF15自研增加 0xffff1
"	谢玉武	否
15	2021-07-21 09:00:00	"Gradient Amplifier_2000,
Gradient Amplifier_1000 增加2,3;"	谢玉武	否
16	2021-07-27 13:00:00	"1. Software页增加601-605
2. 梯度功放页（GA1000和GA2000)删除错误码1,2,3
3. MMU页删除错误码19
4. RF15页删除错误码0xffff1
5. LCC页删除错误码500
6. Couch页（Tang、Han）删除错误码3000"	王栋	否
17	2021-08-05 13:20:00	SW增加射频功率一致性预校正错误码106	陈力	否
18	2021-08-06 09:37:00	SW增加软件417错误	孙瑀	否
19	2021-08-13 00:00:00	CouchTang更新1006-1015错误码，更新显示内容	张俊	否
20	2021-08-19 17:50:00	增加MRS预校正错误码，SW 107-109	陈力	否
21	2021-08-20 00:00:00	SW增加软件9错误	戴鑫	否
22	2021-08-23 00:00:00	修改Hub的1和2的显示内容	王栋	否
23	2021-08-27 00:00:00	SW增加软件10错误	王栋	否
24	2021-10-22 09:19:00	整理GA ERRORCODE（GA1000）	张平	否
25	2021-11-12 00:00:00	整理GA ERRORCODE（GA1000）	张平	否
26	2021-11-19 15:08:00	SCU添加谱仪通用错误0xffff07cf	孙瑀	否
27	2022-01-13 14:31:00	"纠正SCU中GA相关0x1F040BB8-0x1F040BC8地址少""0""的问题"	张平	否
28	2022-03-30 00:00:00	添加三个ga warning:3500-3502	孙瑀	否
29	2022-04-08 16:30:00	增加UFM温湿度监控通信连接报错	产叶林	否
30	2022-04-21 00:00:00	GA1000增加0x08840002和0x08840003	张平	否
31	2022-04-30 12:00:00	"增加UFM温湿度信息向远程系统hawkeye提示， 
增加THM温湿度信息向远程系统hawkeye提示,
增加梯度线圈温度信息向远程系统hawkeye提示.                   "	产叶林	否
32	2022-05-09 14:40:00	重新整理scu错误码	孙瑀	否
33	2022-05-16 15:00:00	Software修改5和6的F列，改成问题原因的描述	戴鑫	否
34	2022-05-16 16:00:00	修改RF15自研的F和G列。 F是原因，G是措施	陈沨	否
35	2022-06-08 00:00:00	"GA1000新增0x0885000F
GA1000新增0x08850004"	张平	否
36	2022-06-10 00:00:00	GA1000修改0x08840000,0x08840001,0x08840004-0x0884000A,0x0884000C,0x0884000D,0x08850000-0x08850006的用户提示信息	张平	否
36	2022-06-13 00:00:00	GA1000修改0x08840000-0x0885000F的用户提示信息英文信息	张平	否
37	2022-07-20 16:00:00	"增加梯度线圈监控通信连接报错
将梯度线圈的INFO信息错误码改为0x0000000A"	产叶林	否
