Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施	Unnamed: 8
0001(0x00000001)	应用程序异常，请重启系统，若问题未能解决请联系服务工程师	Console application shutdown abnormally	Warning	Yes	Yes	重启应用程序,联系系统服务人员	查看系统Dump文件	
0002(0x00000002)	服务程序异常，请重启系统，若问题未能解决请联系服务工程师	Filed service application shutdown abnormally	Warning	Yes	Yes	重启应用程序,联系系统服务人员	查看系统Dump文件	
3(0x00000003)	系统内存不足，请再次尝试，若问题未能解决请重启系统	Memory overflow. Try again or restart software to recover	Warning	Yes	Yes	内存不足	等待几分钟后再次尝试，若未解决则联系系统服务人员	
4(0x00000004)	系统内存趋势异常警告	Memory exception. Try again or restart software to recover	Warning	Yes	Yes	内存增长异常	等待几分钟后再次尝试，若未解决则联系系统服务人员	
5(0x00000005)	硬盘余量不足警告，请清理硬盘空间	Disk usage overflow warning. Please clear up disk space.	Warning	Yes	No	磁盘空间余量不足警告	清理磁盘空间，若未解决则联系系统服务人员	
6(0x00000006)	硬盘余量不足错误，请清理硬盘空间，若问题未能解决请联系服务工程师	Disk usage overflow warning. Please clear up disk space or contact the service engineer.	Error	Yes	Yes	磁盘空间余量不足错误	清理磁盘空间，若未解决则联系系统服务人员	
7(0x00000007)	工作流逻辑错误，请再次尝试，若问题未能解决请重启系统	Application logic error. Restart software system or contact the service engineer.	Warning	Yes	Yes	程序逻辑异常	重启应用程序	
8(0x00000008)	序列逻辑错误，请调整参数再次尝试，若问题未能解决请联系服务工程师	Sequence logic error. Check scan parameters and try again or contact the service engineer.	Warning	Yes	Yes	序列参数或逻辑异常	请调整参数再次尝试，若问题未能解决请联系系统服务人员	
9(0x00000009)	可用系统内存不足，请再次尝试，若问题未能解决请重启系统	Insufficient memory. Try again or restart software to recover	Error	Yes	Yes	内存不足	等待几分钟后再次尝试，若未解决则联系系统服务人员	需求已删除，该错误码废弃
10(0x0000000A)	所需系统端口被占用，请再次尝试，若问题未能解决请重启系统	Specified port already in Use. Try again or restart host PC to recover	Error	Yes	Yes	系统端口占用	再次尝试，若未解决则重启HOST主机	
101(0x00000065)	信噪比过低导致扫描失败，请确认系统状态后再次尝试，若问题未能解决请联系服务工程师	SNR abnormal. Check system state and try again  or contact the service engineer.	Error	Yes	Yes	信噪比过低	确认系统状态再次尝试，若未解决则联系系统服务人员	
102(0x00000066)	开机预校正失败，请重启系统，若问题未能解决请联系服务工程师	Startup calibration error. Restart the system or contact the service engineer.	Warning	Yes	Yes	开机预校正失败	确认系统状态再次尝试，若未解决则联系系统服务人员	
103(0x00000067)	中心频率预校正失败，请确认系统状态后再次尝试，若问题未能解决请联系服务工程师	F0 calibration error. Check system state and try again or contact the service engineer.	Warning	Yes	Yes	中心频率校正失败	确认系统状态再次尝试，若未解决则联系系统服务人员	
