Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施
0x20000001	LCC断电，5s后重启，若问题未能解决请联系服务工程师	Turn off LCC and restart after 5 seconds. If the problem persists, please contact the service engineer	Error	No	Yes	水泵过载（ 热继）	"1.LCC变频器报警，LCC机组下电重启；
2.水泵故障，联系供应商更换水泵"
0x20000002	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	二次供水温度传感器故障	"1.温度传感器ST1故障，联系供应商寄送新的温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000003	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	二次回水压力传感器故障	"1.拧松压力传感器SP1螺母，压力传感器探头清洁拔出，之后重新安装；
2.压力传感器SP1故障，联系供应商寄送新的压力传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000004	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	二次供水压力传感器故障	"1.拧松压力传感器SP2螺母，压力传感器探头拔出，清洁之后重新安装；
2.压力传感器SP2故障，联系供应商寄送新的压力传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000005	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水流量传感器故障	"1.GC流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000006	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水温度传感器故障	"1.GC流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000007	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	一次供水温度传感器故障	"1.温度传感器ST3故障，联系供应商寄送新的温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000008	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	一次供水流量传感器故障	"1.一次水流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000009	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA回水流量传感器故障	"1.GA流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x2000000A	一次水温超高，请检查一次水冷机是否工作正常	First supply temp. too high.Please check if the chiller is working well	Error	No	Yes	一次供水温度超高报警	"1.检查一次水冷室外风机是否积尘，清洗室外机
2.检查一次水冷机面板水温是否异常，是否有红色报警，联系供应商维修"
0x2000000B	一次水温高，请检查一次水冷机是否工作正常	First supply temp. high.Please check if the chiller is working well	Warning	No	Yes	一次水供水温度过高报警	"1.检查一次水冷室外风机是否积尘，清洗室外机
2.检查一次水冷机面板水温是否异常，是否有红色报警，联系供应商维修"
0x2000000C	一次水温低，请检查一次水冷机是否工作正常	First supply temp. low. Please check if the chiller is working well	Warning	No	Yes	一次水供水温度过低报警	检查一次水冷机面板水温是否异常，是否有红色报警，联系供应商维修
0x2000000D	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	一次水回水流量过高报警	"1.一次水流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x2000000E	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	一次水回水流量过低报警	"1.检查一次水管路各接头是否漏水，应紧固，防止有漏水；
2.检查一次水管路控制阀、旁通阀开度，调节开度确保流量正确；
3.一次水流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
4.控制器故障，联系供应商寄送新的控制器，并更换；"
0x2000000F	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	一次回水流量超低报警	"1.检查一次水管路各接头是否漏水，应紧固，防止有漏水；
2.检查一次水管路控制阀、旁通阀开度，调节开度确保流量正确；
3.一次水流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
4.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000010	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	warning	No	Yes	GC回水水流量过低报警	"1.检查GC水路各连接处是否漏水，应紧固，防止有漏水；
2.GC流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000011	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	pCOe1离线	联系供应商寄送新的PCOe1卡，并更换
0x20000012	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	pCOe2离线	联系供应商寄送新的PCOe2卡，并更换
0x20000013	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	RF供水压力传感器故障	"1.拧松压力传感器螺母，压力传感器探头拔出，清洁之后重新安装；
2.压力传感器故障，联系供应商寄送新的压力传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000014	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA供水压力传感器故障	"1.拧松压力传感器螺母，压力传感器探头拔出，清洁之后重新安装；
2.压力传感器故障，联系供应商寄送新的压力传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000015	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC供水压力传感器故障	"1.拧松压力传感器螺母，压力传感器探头拔出，清洁之后重新安装；
2.压力传感器故障，联系供应商寄送新的压力传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x20000017	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	二次供水温度超高报警	"1.检查一次水冷机面板水温是否异常，是否有红色报警，联系供应商维修；
2.LCC内部三通阀执行器故障，联系供应商寄送新的执行器，并更换；
3.二次供水温度传感器ST1故障，联系供应商寄送新的温度传感器，并更换；
4.控制器故障，联系供应商寄送新的控制器，并更换；"
