Code	用户提示信息（医生、技师）	英文	Severity	Software Recoverable	上传至远程平台	服务提示报错信息	服务提示解决措施
0x30000001	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	水泵过载（ 热继）	"1.电网电压不稳，电压恢复后，机组下电重启；
2.水泵故障，联系供应商更换水泵；"
0x30000004	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	二次供水压力传感器故障	"1.拧松压力传感器SP5螺母，压力传感器探头拔出，清洁之后重新安装；
2.压力传感器SP5故障，联系供应商寄送新的压力传感器，并更换；
3.控制器故障，联系供应商寄送新的控制器，并更换；"
0x30000005	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水流量探头故障	"1.GC流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x30000006	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GC回水温度探头故障	"1.GC流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x30000007	LCC缺水报警，打开柜门，用螺丝刀松掉水箱上部盖板螺钉，取下盖板，将冷却水倒入水箱直至液位浮标高于绿色水位线	LCC low water alarm. Open the cabinet door, use a screwdriver to loosen the screws on the upper cover plate of the water tank, remove the cover plate, and pour cooling water into the water tank until the liquid level float is above the green line	Warning	No	Yes	水箱液位低报警	LCC缺水，打开柜们，用螺丝刀松掉水箱上部盖板螺钉，取下盖板，将冷却水倒入水箱直至液位浮标高于绿色水位线
0x30000008	LCC缺水故障，打开柜门，用螺丝刀松掉水箱上部盖板螺钉，取下盖板，将冷却水倒入水箱直至液位浮标高于绿色水位线	LCC low water fault. Open the cabinet door, use a screwdriver to loosen the screws on the upper cover plate of the water tank, remove the cover plate, and pour cooling water into the water tank until the liquid level float is above the green line	Error	No	Yes	水箱液位过低报错	LCC缺水，打开柜门，用螺丝刀松掉水箱上部盖板螺钉，取下盖板，将冷却水倒入水箱直至液位浮标高于绿色水位线
0x30000009	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	GA回水流量探头故障	"1.GA流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
0x3000000A	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	1#系统高压报警	请清洗室外机，如问题不能解决联系供应商维修
0x3000000B	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	1#系统低压报警	请联系供应商,补充制冷剂
0x3000000C	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	1#压缩机过载报警	1#压缩机故障，请联系供应商维护
0x3000000D	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	2#系统高压报警	请清洗室外机，如问题不能解决联系供应商维修
0x3000000E	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	2#系统低压报警	请联系供应商,补充制冷剂
0x3000000F	LCC报警，请联系服务工程师	LCC alarm, please contact the service engineer	Warning	No	Yes	2#压缩机过载报警	2#压缩机故障，请联系供应商维护
0x30000010	LCC故障，请联系服务工程师	LCC fault, please contact the service engineer	Error	No	Yes	GC回水水流量过低报警	"1.GC流量温度传感器故障，联系供应商寄送新的流量温度传感器，并更换；
2.控制器故障，联系供应商寄送新的控制器，并更换；"
